yyyymm,dp,ep,bm,ntis,svar,dfy,tms,tbl
200805,-3.8919561990312803,-3.2485594760176,0.2465106122,-0.0454613577,0.001640653,0.013600000000000001,0.0302,0.0173
200806,-3.7973002030683567,-3.2155610124344864,0.2744913881,-0.04737685,0.0034252405,0.013899999999999996,0.0274,0.0186
200807,-3.78574586323079,-3.241456415926595,0.2738156551,-0.0469318172,0.0044658468,0.014899999999999997,0.0302,0.0163
200808,-3.7962158549133607,-3.290704482668162,0.2698892455,-0.0463334035,0.0034478472,0.015099999999999995,0.027700000000000002,0.0172
200809,-3.6993944355899635,-3.234089218311848,0.2871235482,-0.0489228014,0.0237746692,0.016599999999999997,0.033,0.0113
200810,-3.519168693105829,-3.3038491627690285,0.3340993736,-0.0559541238,0.0580885247,0.02600000000000001,0.041100000000000005,0.0067
200811,-3.446807022611989,-3.5699089499747534,0.3528673559,-0.0527795276,0.0362568805,0.030900000000000004,0.0353,0.0019
200812,-3.4600680761373637,-4.105981340622804,0.3549842247,-0.0244984179,0.0200900813,0.0338,0.03,0.0003
200901,-3.3838986057625684,-4.214464503193927,0.3893931402,-0.0250579218,0.011971096,0.030899999999999997,0.038099999999999995,0.0013
200902,-3.28100756237336,-4.345202008048076,0.441103055,-0.0249295217,0.0099612092,0.0281,0.037099999999999994,0.003
200903,-3.376708686394564,-4.756238235173014,0.4461408452,-0.0374292749,0.0203643787,0.029199999999999997,0.0334,0.0021
200904,-3.487005638472275,-4.814910194480225,0.4155974692,-0.030994753,0.0075510403,0.03,0.039400000000000004,0.0016
200905,-3.559677217720816,-4.836482331761346,0.3993550839,-0.0243503443,0.0063811403,0.025200000000000007,0.0414,0.0018
200906,-3.5812763173013256,-4.807398800540686,0.4018764058,-0.0220974983,0.0034725262,0.0189,0.0411,0.0018
200907,-3.6750931236510267,-4.677399457487832,0.3701258558,-0.013781639,0.0037710547,0.016800000000000002,0.041199999999999994,0.0018
200908,-3.7309097776721583,-4.542775429003003,0.3574715573,-0.007921399,0.002177724,0.013199999999999996,0.0398,0.0017
200909,-3.7893453698433657,-4.43434213370493,0.3495214306,-1.43347e-05,0.0019126285,0.011800000000000005,0.0391,0.0012
200910,-3.790471495555785,-3.7105270736503346,0.3495052369,0.0031975956,0.0038979663,0.0114,0.0413,0.0007
200911,-3.8677863497090965,-3.3572969726902486,0.3281491062,0.0075319177,0.002001319,0.011300000000000004,0.0401,0.0005
200912,-3.90741521773321,-3.085462141619366,0.3255306601,0.0105944692,0.0009334353,0.011100000000000006,0.0453,0.0005
201001,-3.877221687630938,-2.984684176994636,0.3371946683,0.0134096897,0.0019917025,0.009899999999999999,0.0435,0.0006
201002,-3.9128744393304187,-2.9534428052043644,0.328771382,0.0139320735,0.0023732454,0.009899999999999999,0.043000000000000003,0.0011
201003,-3.9776024610480456,-2.9545460653337354,0.3818781703,0.0263901005,0.0006334088,0.010000000000000009,0.0443,0.0015
201004,-3.990233510131284,-2.935999604912668,0.3766061292,0.0266511175,0.0017938348,0.009599999999999997,0.042100000000000005,0.0016
201005,-3.902680964159568,-2.8183383423124253,0.4090027948,0.0257196617,0.0081078432,0.0109,0.0391,0.0016
201006,-3.845280305272236,-2.7318191201622195,0.4241765415,0.0187758765,0.0055917548,0.013499999999999998,0.0364,0.0012
201007,-3.9070291411573845,-2.7749633622702055,0.3961335532,0.0155567639,0.0033487858,0.012900000000000002,0.0361,0.0016
201008,-3.8536685117614584,-2.70351521842354,0.4139816191,0.0112177186,0.0027046021,0.011699999999999995,0.0311,0.0016
201009,-3.932875079099645,-2.7651158376539726,0.3843057828,0.0033375031,0.0023371834,0.011299999999999998,0.0326,0.0015
201010,-3.9634782206598893,-2.7761615152711245,0.3728872859,0.0072316502,0.0010800704,0.0104,0.0354,0.0013
201011,-3.9556221008707078,-2.7493381887257273,0.3766947543,0.0147980123,0.001737952,0.010500000000000002,0.0366,0.0014
201012,-4.013350585608876,-2.788651650765824,0.3581003169,0.0126118483,0.000832136,0.010799999999999997,0.04,0.0014
201101,-4.025500988104683,-2.794123324700265,0.3486322237,0.01536789,0.0008632301,0.010500000000000002,0.0417,0.0015
201102,-4.046818848115427,-2.80894018122083,0.3390965735,0.0159181124,0.0010655334,0.009299999999999996,0.041299999999999996,0.0013
201103,-4.035734025465327,-2.7915249471788766,0.3542699394,0.012476033,0.0023472643,0.009000000000000001,0.0419,0.001
201104,-4.05096961450831,-2.80918214342139,0.3406968012,0.0093801993,0.0006365303,0.008599999999999997,0.040999999999999995,0.0006
201105,-4.024674548653017,-2.7852561874892148,0.3472221891,0.0091168436,0.0009342036,0.008199999999999999,0.038700000000000005,0.0004
201106,-3.9937095752144396,-2.756603765567897,0.3515700392,0.0117335606,0.0022947474,0.007600000000000003,0.0405,0.0004
201107,-3.960563641813106,-2.722610372553019,0.359418903,0.0123705578,0.00183074,0.008300000000000002,0.0374,0.0004
201108,-3.890787924202854,-2.652008111017097,0.3758125221,0.012726561,0.0192222162,0.009899999999999999,0.0313,0.0002
201109,-3.805139018080491,-2.5655505527973936,0.399922847,0.0130493057,0.0069158594,0.011799999999999998,0.0264,0.0001
201110,-3.8911109829902903,-2.6679721200158024,0.3650779046,0.0078925058,0.0074008554,0.013899999999999996,0.028900000000000002,0.0002
201111,-3.869971254761377,-2.6630156253678416,0.3623298975,-0.0043403159,0.0076796025,0.012700000000000003,0.027200000000000002,0.0001
201112,-3.8626498899186408,-2.6716271808746503,0.3572325407,-0.0064973286,0.0027640924,0.013199999999999996,0.0254,0.0001
201201,-3.8936730355344658,-2.7082102248775124,0.3454873026,-0.013062142,0.000648134,0.0138,0.024599999999999997,0.0003
201202,-3.9219536759391684,-2.7419573076867767,0.3369739354,-0.0144663097,0.0006237,0.012900000000000002,0.026299999999999997,0.0009
201203,-3.941433075768606,-2.7668048605310736,0.3461819674,-0.0137750544,0.0011552699,0.012400000000000001,0.028900000000000002,0.0008
201204,-3.922193224394672,-2.7616163830794695,0.3461403112,-0.0124140167,0.0016275451,0.012299999999999998,0.026000000000000002,0.0008
201205,-3.8459119289243993,-2.6992587411420415,0.3690473597,-0.0152707475,0.0014960906,0.012700000000000003,0.0212,0.0009
201206,-3.8732586852868693,-2.740399644017023,0.3551038851,-0.0190430709,0.003437228,0.0138,0.0224,0.0009
201207,-3.870941206478852,-2.75831643818156,0.3515937051,-0.02032077,0.0015528399,0.014699999999999998,0.0206,0.001
201208,-3.8758888575375328,-2.783315330089006,0.3493870523,-0.0197829581,0.0007271274,0.0143,0.0213,0.001
201209,-3.885427095727564,-2.8127191482018485,0.3403829538,-0.0174248985,0.0010446353,0.013499999999999998,0.0224,0.0011
201210,-3.8469462252435718,-2.792693162582035,0.3492371221,-0.0157131373,0.0009255333,0.011099999999999999,0.0228,0.001
201211,-3.831631641462638,-2.7954965172332216,0.3511375309,-0.0120939271,0.0019026489,0.010099999999999998,0.0219,0.0009
201212,-3.8208416606685347,-2.802501817738017,0.3490324432,-0.011549121,0.0010357072,0.009800000000000003,0.0239,0.0007
201301,-3.8608520393132566,-2.8471244632085186,0.3299840266,-0.0080167348,0.0009068013,0.009300000000000003,0.0284,0.0007
201302,-3.862751321608627,-2.8535712116926213,0.3254312323,-0.0088642544,0.0012427427,0.009500000000000001,0.0275,0.001
201303,-3.889088163692632,-2.8843929422629806,0.3461299966,-0.008910638,0.00048452,0.0092,0.0278,0.0009
201304,-3.895100458039268,-2.890040434509057,0.3400362539,-0.0080048608,0.0016827472,0.008600000000000003,0.0258,0.0006
201305,-3.903878988924264,-2.8984617172197638,0.3338325978,-0.0047046859,0.0010155556,0.008400000000000005,0.0305,0.0004
201306,-3.87713135296744,-2.8713663205477857,0.338444358,0.0001187114,0.0022476743,0.0092,0.0325,0.0005
201307,-3.9140746658098444,-2.9071876236556156,0.3255625651,0.0083606049,0.0005020654,0.009799999999999996,0.034,0.0004
201308,-3.8710689902532027,-2.8630861633969706,0.3407133274,0.0103321126,0.0009504246,0.008799999999999995,0.0347,0.0004
201309,-3.8893013360473287,-2.8802480400603327,0.3335214846,0.0101187005,0.0006222223,0.008300000000000002,0.0347,0.0002
201310,-3.9272475619419787,-2.9034948246652066,0.324594825,0.0096228183,0.0014383686,0.007800000000000001,0.0337,0.0005
201311,-3.9492620859245693,-2.911181081761332,0.3136852784,0.0103247751,0.0006443989,0.0075,0.0354,0.0007
201312,-3.9669345744899545,-2.9148858497736025,0.3044081256,0.012143946,0.0007455165,0.007600000000000003,0.0371,0.0007
201401,-3.919000658334378,-2.8764941138105122,0.3214292767,0.0137654211,0.0013035884,0.006999999999999999,0.033800000000000004,0.0004
201402,-3.9496468872283876,-2.916552807245848,0.3091630718,0.0165761568,0.0012535647,0.006499999999999999,0.0334,0.0005
201403,-3.9451202448868274,-2.9213100000773107,0.3506160657,0.0164166032,0.0008690325,0.0068000000000000005,0.0332,0.0005
201404,-3.9407498599834705,-2.9200164376540005,0.3480113191,0.0166231984,0.0013626925,0.006600000000000002,0.032299999999999995,0.0003
201405,-3.951120205880047,-2.9334098635961006,0.345173256,0.0139852575,0.0005552042,0.006000000000000005,0.0306,0.0003
201406,-3.9596625638348883,-2.9449237336477925,0.3429284585,0.0138854262,0.0002819998,0.005499999999999998,0.0309,0.0004
201407,-3.9345839174912025,-2.9205903321946236,0.3483798518,0.0084376901,0.0009491219,0.005700000000000004,0.030699999999999998,0.0003
201408,-3.9617603977527978,-2.9484990327196225,0.337476204,0.0067389693,0.0005462017,0.006099999999999994,0.028399999999999998,0.0003
201409,-3.9364326114578594,-2.9238889187701522,0.3385761813,0.0079914182,0.0007210232,0.006900000000000003,0.0298,0.0002
201410,-3.9511884192011726,-2.9583743826707867,0.3318083646,0.008032342,0.0029439983,0.0076999999999999985,0.028,0.0002
201411,-3.967311681268297,-2.99429489658187,0.323661786,0.0068915555,0.000150254,0.0087,0.0262,0.0002
201412,-3.9550680115314343,-3.00191971869185,0.3237556717,0.0056250117,0.0019928394,0.009499999999999995,0.0243,0.0003
201501,-3.9120781450693016,-2.9804066270813676,0.3361687625,0.0001906991,0.0022266292,0.009899999999999999,0.0197,0.0003
201502,-3.954189750239276,-3.0439666406747916,0.318227291,-0.0037666943,0.0008135397,0.009000000000000001,0.023600000000000003,0.0002
201503,-3.925440209690741,-3.0366421231569403,0.3074540451,-0.0068897073,0.001720375,0.009000000000000001,0.022699999999999998,0.0003
201504,-3.9263129987546503,-3.0598103898358895,0.3063442097,-0.0070749014,0.0005743427,0.009599999999999997,0.0247,0.0002
201505,-3.9291954104731275,-3.085148563385629,0.303449953,-0.0080784075,0.0008869955,0.009099999999999997,0.026000000000000002,0.0002
201506,-3.900462015887384,-3.0790407579145427,0.3101868327,-0.0087253566,0.0010521575,0.009399999999999999,0.028300000000000002,0.0002
201507,-3.913895146173752,-3.1136297493655176,0.3089532648,-0.0083576995,0.001159779,0.010499999999999995,0.026,0.0003
201508,-3.8431886851151016,-3.0642728835174484,0.3306709874,-0.01016089,0.005846949,0.011500000000000003,0.0257,0.0007
201509,-3.8103473380226354,-3.052979844387055,0.3356119548,-0.013637638,0.0040534913,0.012700000000000003,0.0251,0.0002
201510,-3.8832095757389866,-3.14800097272518,0.3094136283,-0.0168325424,0.0016189063,0.013900000000000003,0.0257,0.0002
201511,-3.876904005779771,-3.164044243888327,0.3084291577,-0.0184380966,0.0011187588,0.014000000000000005,0.0253,0.0012
201512,-3.852453996294733,-3.1621434220666673,0.3136488144,-0.0222515503,0.0028384856,0.014900000000000004,0.0245,0.0023
201601,-3.796643475274849,-3.1104225418081297,0.3319106296,-0.0209440575,0.004301314,0.014499999999999999,0.020999999999999998,0.0026
201602,-3.7887776516826785,-3.106632522333566,0.3309018254,-0.024716052,0.0026015445,0.0138,0.018600000000000002,0.0031
201603,-3.8489698458296298,-3.1708845085871022,0.3279547913,-0.0237096366,0.0012741569,0.0131,0.0189,0.0029
201604,-3.8472378798285076,-3.171730957725215,0.3263208887,-0.0242103552,0.0008177635,0.011699999999999995,0.02,0.0023
201605,-3.8580403717363727,-3.185093501072908,0.3260721193,-0.0270483003,0.0009955687,0.010300000000000004,0.0192,0.0027
201606,-3.8545619598476257,-3.184161463780142,0.3234753617,-0.0286793234,0.0028644086,0.010299999999999997,0.015199999999999998,0.0027
201607,-3.8853193459788016,-3.2108648900545163,0.3146611589,-0.0320189588,0.0004776635,0.009399999999999999,0.014500000000000002,0.003
201608,-3.879884217037102,-3.2014249369087793,0.3151974253,-0.0307856163,0.0002791632,0.0092,0.0156,0.003
201609,-3.8744514556910716,-3.192037798818066,0.3167938869,-0.0326071132,0.0016731127,0.009000000000000001,0.0167,0.0029
201610,-3.8498499718063877,-3.152198105312163,0.3196877815,-0.0290379829,0.000364052,0.0087,0.018699999999999998,0.0033
201611,-3.878495665531584,-3.1659795390992667,0.3032857864,-0.027456294,0.0009463723,0.0085,0.0222,0.0045
201612,-3.89159726004634,-3.1645798918586916,0.2934790969,-0.0251078836,0.0005240219,0.0077000000000000055,0.022099999999999998,0.0051
201701,-3.904362209514227,-3.162272359928581,0.29197965,-0.0226616459,0.0003355713,0.007400000000000004,0.022699999999999998,0.0051
201702,-3.935948452007874,-3.179154095264133,0.2786778326,-0.0187126126,0.0002239129,0.006899999999999996,0.0218,0.0052
201703,-3.9306486997944465,-3.159502787625346,0.2815988893,-0.0161988604,0.000575304,0.0067000000000000046,0.02,0.0074
201704,-3.9337037899557137,-3.156232093790413,0.2778700263,-0.0155745591,0.000390547,0.006999999999999999,0.0185,0.008
201705,-3.939254184497277,-3.1555699620347566,0.2769687672,-0.0101861377,0.0005030984,0.006999999999999999,0.0167,0.0089
201706,-3.9381345642568983,-3.1483477298779183,0.2725452275,-0.0097849906,0.0004475599,0.006900000000000003,0.016,0.0098
201707,-3.9505865245495704,-3.1577536497419976,0.2658036788,-0.0131645346,0.0002588437,0.006900000000000003,0.015500000000000002,0.0107
201708,-3.944463527501362,-3.14863625108387,0.2651136136,-0.0122138062,0.0007533758,0.0068000000000000005,0.0141,0.0101
201709,-3.956959406016763,-3.1581839613439504,0.2597061668,-0.0110861436,0.0002572471,0.006699999999999998,0.0156,0.0103
201710,-3.973666854299848,-3.17145141118415,0.2489061986,-0.0123790201,0.0002181529,0.007200000000000005,0.015400000000000002,0.0107
201711,-3.972171163884507,-3.1665601176672107,0.2397271007,-0.0121934363,0.0003553369,0.006999999999999999,0.013699999999999999,0.0123
201712,-4.000753318924749,-3.191796036882346,0.2353933431,-0.0198797967,0.0002441133,0.007100000000000002,0.012199999999999999,0.0132
201801,-4.048141383475855,-3.2297275342860257,0.2225191486,-0.0190444889,0.0007742615,0.007100000000000002,0.014300000000000002,0.0141
201802,-4.0011983769624235,-3.1735497782923616,0.2324780656,-0.0183207339,0.0053616635,0.006900000000000003,0.0144,0.0157
201803,-3.9667806836785124,-3.130112772841115,0.2595370473,-0.018222299,0.0032467402,0.0076999999999999985,0.0115,0.017
